numComponent,Frame,minError,mnaxError,maxAccumError,minAccumError,sumAccumError
4,200,2.666170247712625e-10,0.006828985618848212,0.34350243044388373,0.020956637779457336,1626.2537918007401
6,200,2.666170247712625e-10,0.006864891529950646,0.3307784991364477,0.02648853114213932,1573.555058573002
8,200,2.666170247712625e-10,0.006864891529950646,0.30754009017618567,0.029526659920980684,1597.115193491954
10,200,1.4612598800793217e-10,0.006864891529950646,0.28418855500075924,0.026882373141627097,1542.7317707676707
20,200,1.4612598800793217e-10,0.006864891529950646,0.2733524292582322,0.02387911162054526,1471.678726395452
30,200,4.885358014708391e-11,0.006864891529950646,0.261490140592416,0.022935058461609238,1349.3921450998137
40,200,4.658175360771696e-11,0.006864891529950646,0.2711068838945416,0.02294990402100943,1412.9537079228642
50,200,3.546629160258118e-11,0.006864891529950646,0.26802484522940767,0.022188658401032586,1409.209765693232
60,200,3.546629160258118e-11,0.006864891529950646,0.26441466906603567,0.0225401594306168,1388.8980177311682
70,200,3.4703370571823606e-11,0.006864891529950646,0.2626526828287453,0.02369073463093215,1360.135958701048
